"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.590377740E-1,5.344913807E-4,-6.108472589E-4,-6.108472589E-4,1.015849292E-3
2.614522010E-1,-1.985253533E-3,-0.000000000E0,6.108472589E-4,2.077105189E-3
2.638666280E-1,-1.374406274E-3,1.221694518E-3,-0.000000000E0,1.838893717E-3
2.662810030E-1,-1.527118147E-4,-0.000000000E0,1.221694518E-3,1.231202012E-3
2.686954300E-1,1.145338640E-3,-0.000000000E0,1.221694518E-3,1.674615805E-3
2.711098570E-1,-1.527118147E-4,-6.108472589E-4,6.108472589E-4,8.772625866E-4
2.735242840E-1,-7.635590737E-4,6.108472589E-4,1.832541777E-3,2.077105244E-3
2.759387110E-1,-1.374406274E-3,-1.221694518E-3,-0.000000000E0,1.838893717E-3
2.783531380E-1,-1.527118147E-4,-6.108472589E-4,-0.000000000E0,6.296469424E-4
2.807675650E-1,5.344913807E-4,-0.000000000E0,6.108472589E-4,8.116744481E-4
2.831819400E-1,5.344913807E-4,1.832541777E-3,6.108472589E-4,2.004251674E-3
2.855963670E-1,-1.527118147E-4,1.221694518E-3,-0.000000000E0,1.231202012E-3
2.880107940E-1,5.344913807E-4,1.221694518E-3,-0.000000000E0,1.333498606E-3
2.904252210E-1,1.145338640E-3,-0.000000000E0,-0.000000000E0,1.145338640E-3
2.928396490E-1,-1.527118147E-4,-0.000000000E0,1.221694518E-3,1.231202012E-3
2.952540760E-1,-1.527118147E-4,-0.000000000E0,1.221694518E-3,1.231202012E-3
2.976685030E-1,-1.527118147E-4,-0.000000000E0,1.221694518E-3,1.231202012E-3
3.000828780E-1,5.344913807E-4,-0.000000000E0,1.221694518E-3,1.333498606E-3
3.024973050E-1,-1.527118147E-4,6.108472589E-4,1.221694518E-3,1.374406333E-3
3.049117320E-1,-1.527118147E-4,-0.000000000E0,-6.108472589E-4,6.296469424E-4
3.073261590E-1,5.344913807E-4,6.108472589E-4,6.108472589E-4,1.015849292E-3
3.097405860E-1,1.145338640E-3,-0.000000000E0,-0.000000000E0,1.145338640E-3
3.121550130E-1,-1.374406274E-3,-0.000000000E0,-0.000000000E0,1.374406274E-3
3.145694400E-1,-1.527118147E-4,6.108472589E-4,1.221694518E-3,1.374406333E-3
3.169838150E-1,5.344913807E-4,6.108472589E-4,-0.000000000E0,8.116744481E-4
3.193982420E-1,5.344913807E-4,6.108472589E-4,-0.000000000E0,8.116744481E-4
3.218126690E-1,5.344913807E-4,-0.000000000E0,6.108472589E-4,8.116744481E-4
3.242270960E-1,-7.635590737E-4,-0.000000000E0,6.108472589E-4,9.778327223E-4
3.266415240E-1,-1.527118147E-4,-1.832541777E-3,2.443389036E-3,3.058051707E-3
3.290559510E-1,-7.635590737E-4,-1.832541777E-3,-0.000000000E0,1.985253592E-3
3.314703780E-1,-1.985253533E-3,-6.108472589E-4,1.221694518E-3,2.409751742E-3
3.338848050E-1,-7.635590737E-4,-6.108472589E-4,6.108472589E-4,1.152948918E-3
3.362991800E-1,-1.374406274E-3,6.108472589E-4,-6.108472589E-4,1.623348809E-3
3.387136070E-1,-1.527118147E-4,6.108472589E-4,6.108472589E-4,8.772625866E-4
3.411280340E-1,-1.527118147E-4,1.221694518E-3,-0.000000000E0,1.231202012E-3
3.435424610E-1,-1.985253533E-3,1.221694518E-3,6.108472589E-4,2.409751742E-3
3.459568880E-1,-1.527118147E-4,-6.108472589E-4,6.108472589E-4,8.772625866E-4
3.483713150E-1,-7.635590737E-4,6.108472589E-4,6.108472589E-4,1.152948918E-3
3.507857420E-1,5.344913807E-4,-0.000000000E0,-6.108472589E-4,8.116744481E-4
3.532001170E-1,5.344913807E-4,1.221694518E-3,-1.221694518E-3,1.808523162E-3
3.556145440E-1,-7.635590737E-4,-0.000000000E0,-0.000000000E0,7.635590737E-4
3.580289710E-1,-1.374406274E-3,-0.000000000E0,6.108472589E-4,1.504036895E-3
3.604433990E-1,-1.374406274E-3,6.108472589E-4,6.108472589E-4,1.623348809E-3
3.628578260E-1,5.344913807E-4,6.108472589E-4,-0.000000000E0,8.116744481E-4
3.652722530E-1,-7.635590737E-4,-0.000000000E0,-0.000000000E0,7.635590737E-4
3.676866800E-1,-1.527118147E-4,-0.000000000E0,6.108472589E-4,6.296469424E-4
3.701010550E-1,1.145338640E-3,-6.108472589E-4,-0.000000000E0,1.298050451E-3
3.725154820E-1,-1.527118147E-4,-0.000000000E0,6.108472589E-4,6.296469424E-4
3.749299090E-1,-1.527118147E-4,6.108472589E-4,-6.108472589E-4,8.772625866E-4
3.773443360E-1,1.756185899E-3,-0.000000000E0,-0.000000000E0,1.756185899E-3
3.797587630E-1,-1.527118147E-4,-0.000000000E0,-0.000000000E0,1.527118147E-4
3.821731900E-1,-7.635590737E-4,-6.108472589E-4,-0.000000000E0,9.778327223E-4
