"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.071822009E1,3.054236295E-4,2.290677221E-4,-2.290677221E-4
4.072787733E1,-3.054236295E-4,2.290677221E-4,-2.290677221E-4
4.073753457E1,-3.054236295E-4,8.399150101E-4,-2.290677221E-4
4.074719181E1,3.054236295E-4,2.290677221E-4,-8.399150101E-4
4.075684905E1,3.054236295E-4,2.290677221E-4,-2.290677221E-4
4.076650629E1,3.054236295E-4,2.290677221E-4,-8.399150101E-4
4.077616353E1,-3.054236295E-4,-3.817795368E-4,-2.290677221E-4
4.078582077E1,-3.054236295E-4,-3.817795368E-4,-2.290677221E-4
4.079547801E1,-3.054236295E-4,2.290677221E-4,-2.290677221E-4
4.080513525E1,-3.054236295E-4,8.399150101E-4,-2.290677221E-4
4.081479249E1,3.054236295E-4,2.290677221E-4,3.817795368E-4
4.082444972E1,3.054236295E-4,2.290677221E-4,3.817795368E-4
4.083410696E1,-3.054236295E-4,2.290677221E-4,-2.290677221E-4
4.084376420E1,3.054236295E-4,2.290677221E-4,9.926267667E-4
4.085342144E1,3.054236295E-4,2.290677221E-4,3.817795368E-4
4.086307868E1,-3.054236295E-4,2.290677221E-4,-1.527118147E-4
4.087273592E1,-9.162708884E-4,2.290677221E-4,4.581354442E-4
4.088239321E1,-9.162708884E-4,2.290677221E-4,4.581354442E-4
4.089205045E1,3.054236295E-4,8.399150101E-4,4.581354442E-4
4.090170769E1,3.054236295E-4,8.399150101E-4,4.581354442E-4
4.091136493E1,3.054236295E-4,2.290677221E-4,-1.527118147E-4
4.092102217E1,-3.054236295E-4,2.290677221E-4,-1.527118147E-4
4.093067941E1,3.054236295E-4,-3.817795368E-4,-1.527118147E-4
4.094033665E1,-9.162708884E-4,2.290677221E-4,4.581354442E-4
4.094999389E1,-3.054236295E-4,2.290677221E-4,1.068982761E-3
4.095965113E1,-3.054236295E-4,-3.817795368E-4,4.581354442E-4
4.096930837E1,-9.162708884E-4,-3.817795368E-4,4.581354442E-4
4.097896561E1,-3.054236295E-4,-3.817795368E-4,-7.635590737E-4
4.098862285E1,-3.054236295E-4,2.290677221E-4,-1.527118147E-4
4.099828009E1,-3.054236295E-4,2.290677221E-4,4.581354442E-4
4.100793733E1,-3.054236295E-4,2.290677221E-4,1.068982761E-3
4.101759462E1,3.054236295E-4,2.290677221E-4,4.581354442E-4
4.102725186E1,3.054236295E-4,-3.817795368E-4,-1.527118147E-4
4.103690910E1,-3.054236295E-4,-3.817795368E-4,-1.527118147E-4
4.104656634E1,3.054236295E-4,2.290677221E-4,4.581354442E-4
4.105622358E1,9.162708884E-4,2.290677221E-4,-1.527118147E-4
4.106588082E1,3.054236295E-4,1.527118147E-4,-1.527118147E-4
4.107553806E1,3.054236295E-4,-4.581354442E-4,-1.527118147E-4
4.108519530E1,3.054236295E-4,-4.581354442E-4,3.817795368E-4
4.109485254E1,3.054236295E-4,1.527118147E-4,-2.290677221E-4
4.110450978E1,3.054236295E-4,1.527118147E-4,-2.290677221E-4
4.111416702E1,3.054236295E-4,1.527118147E-4,-8.399150101E-4
4.112382426E1,3.817795368E-4,-4.581354442E-4,-2.290677221E-4
4.113348150E1,3.817795368E-4,1.527118147E-4,-8.399150101E-4
4.114313874E1,3.817795368E-4,-4.581354442E-4,-8.399150101E-4
4.115279598E1,3.817795368E-4,1.527118147E-4,-8.399150101E-4
4.116245321E1,-2.290677221E-4,-4.581354442E-4,-2.290677221E-4
4.117211045E1,-2.290677221E-4,1.527118147E-4,3.817795368E-4
4.118176769E1,-2.290677221E-4,1.527118147E-4,3.817795368E-4
4.119142499E1,3.817795368E-4,1.527118147E-4,-2.290677221E-4
4.120108222E1,3.817795368E-4,1.527118147E-4,-2.290677221E-4
4.121073946E1,-2.290677221E-4,1.527118147E-4,3.817795368E-4
4.122039670E1,3.817795368E-4,1.527118147E-4,-2.290677221E-4
4.123005394E1,3.817795368E-4,1.527118147E-4,-2.290677221E-4
4.123971118E1,3.817795368E-4,7.635590737E-4,-2.290677221E-4
4.124936842E1,3.817795368E-4,7.635590737E-4,3.817795368E-4
4.125902566E1,-3.054236295E-4,1.527118147E-4,3.817795368E-4
4.126868290E1,3.817795368E-4,1.527118147E-4,-2.290677221E-4
4.127834014E1,3.817795368E-4,1.527118147E-4,-2.290677221E-4
4.128799738E1,-3.054236295E-4,1.527118147E-4,3.817795368E-4
4.129765462E1,-3.054236295E-4,1.527118147E-4,3.817795368E-4
4.130731186E1,3.054236295E-4,7.635590737E-4,-2.290677221E-4
4.131696910E1,3.054236295E-4,1.527118147E-4,-2.290677221E-4
4.132662634E1,3.054236295E-4,-4.581354442E-4,-2.290677221E-4
4.133628358E1,3.054236295E-4,1.527118147E-4,-2.290677221E-4
4.134594082E1,-3.054236295E-4,1.527118147E-4,-2.290677221E-4
4.135559811E1,3.054236295E-4,7.635590737E-4,3.817795368E-4
4.136525535E1,3.054236295E-4,1.527118147E-4,3.817795368E-4
4.137491259E1,3.054236295E-4,-4.581354442E-4,3.817795368E-4
4.138456983E1,3.054236295E-4,7.635590737E-4,3.817795368E-4
4.139422707E1,-3.054236295E-4,-4.581354442E-4,3.817795368E-4
4.140388431E1,-3.054236295E-4,-4.581354442E-4,-2.290677221E-4
4.141354155E1,-3.817795368E-4,1.527118147E-4,-2.290677221E-4
4.142319879E1,3.054236295E-4,7.635590737E-4,-2.290677221E-4
4.143285603E1,3.054236295E-4,1.527118147E-4,4.581354442E-4
4.144251327E1,2.290677221E-4,6.872031372E-4,4.581354442E-4
4.145217051E1,2.290677221E-4,7.635590737E-5,4.581354442E-4
4.146182775E1,2.290677221E-4,7.635590737E-5,-1.527118147E-4
4.147148499E1,2.290677221E-4,-5.344913807E-4,-1.527118147E-4
4.148114222E1,-9.926267667E-4,7.635590737E-5,4.581354442E-4
4.149079946E1,2.290677221E-4,7.635590737E-5,-1.527118147E-4
4.150045670E1,2.290677221E-4,7.635590737E-5,-1.527118147E-4
4.151011394E1,2.290677221E-4,-5.344913807E-4,4.581354442E-4
4.151977118E1,-3.817795368E-4,7.635590737E-5,4.581354442E-4
4.152942848E1,-3.817795368E-4,7.635590737E-5,-1.527118147E-4
4.153908566E1,-3.817795368E-4,7.635590737E-5,3.817795368E-4
4.154874295E1,2.290677221E-4,7.635590737E-5,9.926267667E-4
4.155840019E1,-3.817795368E-4,-5.344913807E-4,-2.290677221E-4
4.156805743E1,2.290677221E-4,-5.344913807E-4,-2.290677221E-4
4.157771467E1,2.290677221E-4,-5.344913807E-4,-2.290677221E-4
4.158737191E1,2.290677221E-4,7.635590737E-5,-2.290677221E-4
4.159702915E1,8.399150101E-4,-5.344913807E-4,-2.290677221E-4
4.160668639E1,2.290677221E-4,-5.344913807E-4,-2.290677221E-4
4.161634363E1,2.290677221E-4,7.635590737E-5,-2.290677221E-4
4.162600087E1,2.290677221E-4,0.000000000E0,-2.290677221E-4
4.163565811E1,2.290677221E-4,-6.108472589E-4,3.817795368E-4
4.164531535E1,-3.817795368E-4,-6.108472589E-4,-2.290677221E-4
4.165497259E1,2.290677221E-4,-6.108472589E-4,-2.290677221E-4
4.166462983E1,2.290677221E-4,0.000000000E0,-2.290677221E-4
4.167428707E1,2.290677221E-4,0.000000000E0,-2.290677221E-4
4.168394431E1,2.290677221E-4,7.635590737E-5,9.926267667E-4
4.169360155E1,2.290677221E-4,-5.344913807E-4,3.817795368E-4
4.170325879E1,-4.581354442E-4,7.635590737E-5,3.817795368E-4
4.171291603E1,-4.581354442E-4,7.635590737E-5,-2.290677221E-4
4.172257327E1,-4.581354442E-4,7.635590737E-5,3.817795368E-4
4.173223056E1,2.290677221E-4,-5.344913807E-4,3.817795368E-4
4.174188780E1,2.290677221E-4,-5.344913807E-4,-2.290677221E-4
4.175154504E1,-4.581354442E-4,-5.344913807E-4,3.817795368E-4
4.176120228E1,2.290677221E-4,7.635590737E-5,-2.290677221E-4
4.177085952E1,2.290677221E-4,-5.344913807E-4,-8.399150101E-4
4.178051676E1,-4.581354442E-4,7.635590737E-5,-2.290677221E-4
4.179017400E1,-4.581354442E-4,7.635590737E-5,-2.290677221E-4
4.179983124E1,1.527118147E-4,7.635590737E-5,-2.290677221E-4
4.180948848E1,-4.581354442E-4,7.635590737E-5,3.817795368E-4
4.181914571E1,1.527118147E-4,7.635590737E-5,3.817795368E-4
4.182880295E1,-4.581354442E-4,-5.344913807E-4,-2.290677221E-4
4.183846019E1,-4.581354442E-4,-4.581354442E-4,3.817795368E-4
4.184811743E1,-4.581354442E-4,-4.581354442E-4,3.817795368E-4
4.185777467E1,1.527118147E-4,-4.581354442E-4,-8.399150101E-4
4.186743191E1,-4.581354442E-4,1.527118147E-4,-8.399150101E-4
4.187708915E1,-4.581354442E-4,7.635590737E-4,-2.290677221E-4
4.188674639E1,-4.581354442E-4,7.635590737E-4,-2.290677221E-4
4.189640363E1,1.527118147E-4,-4.581354442E-4,-2.290677221E-4
4.190606087E1,-4.581354442E-4,1.527118147E-4,-2.290677221E-4
4.191571811E1,1.527118147E-4,7.635590737E-4,-2.290677221E-4
4.192537535E1,-4.581354442E-4,1.527118147E-4,3.817795368E-4
4.193503259E1,1.527118147E-4,-4.581354442E-4,3.817795368E-4
4.194468988E1,2.290677221E-4,1.527118147E-4,3.817795368E-4
4.195434712E1,2.290677221E-4,-4.581354442E-4,3.817795368E-4
4.196400436E1,-1.068982761E-3,8.399150101E-4,-2.290677221E-4
4.197366160E1,-4.581354442E-4,8.399150101E-4,3.817795368E-4
4.198331884E1,-3.817795368E-4,2.290677221E-4,-2.290677221E-4
4.199297608E1,2.290677221E-4,-3.817795368E-4,-8.399150101E-4
4.200263332E1,8.399150101E-4,2.290677221E-4,-2.290677221E-4
4.201229056E1,2.290677221E-4,-3.817795368E-4,-2.290677221E-4
4.202194780E1,2.290677221E-4,-3.817795368E-4,3.817795368E-4
4.203160504E1,2.290677221E-4,-3.817795368E-4,3.817795368E-4
4.204126228E1,-3.817795368E-4,-3.817795368E-4,3.817795368E-4
4.205091952E1,-3.817795368E-4,2.290677221E-4,3.817795368E-4
4.206057676E1,-3.817795368E-4,-3.817795368E-4,3.817795368E-4
4.207023400E1,2.290677221E-4,8.399150101E-4,3.817795368E-4
4.207989124E1,2.290677221E-4,-3.817795368E-4,-2.290677221E-4
4.208954848E1,2.290677221E-4,-3.817795368E-4,-8.399150101E-4
4.209920571E1,2.290677221E-4,2.290677221E-4,-2.290677221E-4
4.210886295E1,2.290677221E-4,2.290677221E-4,-2.290677221E-4
4.211852019E1,9.162708884E-4,2.290677221E-4,3.817795368E-4
4.212817743E1,3.054236295E-4,2.290677221E-4,3.817795368E-4
4.213783467E1,9.162708884E-4,2.290677221E-4,3.817795368E-4
4.214749191E1,3.054236295E-4,8.399150101E-4,-2.290677221E-4
4.215714915E1,-3.817795368E-4,2.290677221E-4,-2.290677221E-4
4.216680644E1,-3.817795368E-4,2.290677221E-4,-2.290677221E-4
4.217646368E1,-3.054236295E-4,2.290677221E-4,-2.290677221E-4
4.218612092E1,-3.054236295E-4,8.399150101E-4,3.817795368E-4
4.219577816E1,-3.054236295E-4,-3.817795368E-4,-2.290677221E-4
4.220543540E1,3.054236295E-4,-4.581354442E-4,3.817795368E-4
4.221509264E1,3.054236295E-4,1.527118147E-4,3.817795368E-4
4.222474988E1,-3.817795368E-4,1.527118147E-4,-2.290677221E-4
4.223440712E1,-3.817795368E-4,-4.581354442E-4,3.817795368E-4
4.224406436E1,3.054236295E-4,1.527118147E-4,-2.290677221E-4
4.225372160E1,3.054236295E-4,1.527118147E-4,-2.290677221E-4
