"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.338456357E0,2.111666054E-1,-1.465603858E-1,9.879067421E0
1.348113596E0,2.111666054E-1,-1.728814393E-1,9.886245728E0
1.357770836E0,2.279163599E-1,-1.585244983E-1,9.879067421E0
1.367428075E0,2.063809484E-1,-1.824527234E-1,9.879067421E0
1.377085315E0,2.303091735E-1,-1.561316848E-1,9.871889114E0
1.386742555E0,1.728814393E-1,-1.657029688E-1,9.883852959E0
1.396399794E0,1.992024779E-1,-1.800599098E-1,9.874281883E0
1.406057034E0,2.111666054E-1,-1.633101404E-1,9.891031265E0
1.415714221E0,1.992024779E-1,-1.752742529E-1,9.874281883E0
1.425371461E0,2.231307179E-1,-1.776670814E-1,9.881460190E0
1.435028700E0,1.968096644E-1,-1.872383654E-1,9.881460190E0
1.444685940E0,1.872383654E-1,-1.609173268E-1,9.886245728E0
1.454343180E0,1.776670814E-1,-1.680957973E-1,9.876674652E0
1.464000419E0,2.159522474E-1,-1.441675574E-1,9.867103577E0
1.473657659E0,2.087737769E-1,-1.369891018E-1,9.874281883E0
1.483314898E0,1.944168359E-1,-1.585244983E-1,9.871889114E0
1.492972138E0,2.087737769E-1,-1.776670814E-1,9.876674652E0
1.502629377E0,1.992024779E-1,-1.800599098E-1,9.886245728E0
1.512286617E0,2.039881349E-1,-1.800599098E-1,9.895816803E0
1.521943857E0,2.135594189E-1,-1.561316848E-1,9.879067421E0
1.531601096E0,1.968096644E-1,-1.537388563E-1,9.881460190E0
1.541258336E0,2.111666054E-1,-1.800599098E-1,9.874281883E0
1.550915523E0,1.920240223E-1,-1.728814393E-1,9.876674652E0
1.560572763E0,1.944168359E-1,-1.489532143E-1,9.874281883E0
1.570230002E0,2.135594189E-1,-1.585244983E-1,9.879067421E0
1.579887242E0,2.063809484E-1,-1.680957973E-1,9.874281883E0
1.589544482E0,2.063809484E-1,-1.824527234E-1,9.871889114E0
1.599201721E0,1.992024779E-1,-1.609173268E-1,9.869496346E0
1.608858961E0,1.992024779E-1,-1.561316848E-1,9.869496346E0
1.618516200E0,2.039881349E-1,-1.489532143E-1,9.883852959E0
1.628173440E0,2.063809484E-1,-1.633101404E-1,9.879067421E0
1.637830680E0,2.231307179E-1,-1.776670814E-1,9.869496346E0
1.647487919E0,1.920240223E-1,-1.633101404E-1,9.879067421E0
1.657145159E0,2.255235314E-1,-1.489532143E-1,9.888638496E0
1.666802398E0,1.848455518E-1,-1.585244983E-1,9.881460190E0
1.676459638E0,2.015953064E-1,-1.657029688E-1,9.881460190E0
1.686116877E0,1.992024779E-1,-1.752742529E-1,9.879067421E0
1.695774065E0,1.896311939E-1,-1.561316848E-1,9.862318039E0
1.705431305E0,2.207378894E-1,-1.944168359E-1,9.869496346E0
1.715088544E0,2.039881349E-1,-1.537388563E-1,9.881460190E0
1.724745784E0,2.087737769E-1,-1.752742529E-1,9.883852959E0
1.734403023E0,2.015953064E-1,-1.776670814E-1,9.871889114E0
1.744060263E0,2.063809484E-1,-1.752742529E-1,9.871889114E0
1.753717502E0,1.944168359E-1,-1.704886109E-1,9.879067421E0
1.763374742E0,1.944168359E-1,-1.465603858E-1,9.895816803E0
1.773031982E0,2.015953064E-1,-1.704886109E-1,9.874281883E0
1.782689221E0,2.183450609E-1,-1.680957973E-1,9.876674652E0
1.792346461E0,2.039881349E-1,-1.561316848E-1,9.871889114E0
1.802003700E0,1.944168359E-1,-1.585244983E-1,9.876674652E0
1.811660940E0,1.992024779E-1,-1.824527234E-1,9.881460190E0
1.821318180E0,1.992024779E-1,-1.513460279E-1,9.876674652E0
1.830975419E0,2.255235314E-1,-1.513460279E-1,9.886245728E0
1.840632659E0,1.992024779E-1,-1.561316848E-1,9.886245728E0
1.850289898E0,2.231307179E-1,-1.776670814E-1,9.874281883E0
1.859947086E0,2.135594189E-1,-1.872383654E-1,9.869496346E0
1.869604325E0,1.824527234E-1,-1.680957973E-1,9.888638496E0
1.879261565E0,2.111666054E-1,-1.680957973E-1,9.871889114E0
1.888918805E0,2.039881349E-1,-1.441675574E-1,9.893424034E0
1.898576044E0,1.992024779E-1,-1.417747438E-1,9.867103577E0
1.908233284E0,2.087737769E-1,-1.561316848E-1,9.883852959E0
1.917890523E0,1.944168359E-1,-1.609173268E-1,9.879067421E0
1.927547763E0,2.207378894E-1,-1.609173268E-1,9.879067421E0
1.937205002E0,2.159522474E-1,-1.728814393E-1,9.869496346E0
1.946862242E0,1.848455518E-1,-1.609173268E-1,9.871889114E0
1.956519482E0,2.039881349E-1,-1.728814393E-1,9.869496346E0
1.966176721E0,1.944168359E-1,-1.752742529E-1,9.891031265E0
1.975833961E0,2.303091735E-1,-1.585244983E-1,9.874281883E0
1.985491200E0,2.015953064E-1,-1.609173268E-1,9.857531548E0
1.995148388E0,2.231307179E-1,-1.776670814E-1,9.883852959E0
2.004805627E0,1.824527234E-1,-1.680957973E-1,9.881460190E0
2.014462867E0,2.015953064E-1,-1.776670814E-1,9.867103577E0
2.024120107E0,2.039881349E-1,-1.752742529E-1,9.874281883E0
2.033777346E0,1.872383654E-1,-1.968096644E-1,9.871889114E0
2.043434586E0,2.039881349E-1,-1.513460279E-1,9.876674652E0
2.053091825E0,2.183450609E-1,-1.585244983E-1,9.869496346E0
2.062749065E0,1.824527234E-1,-1.441675574E-1,9.864710808E0
2.072406305E0,1.968096644E-1,-1.609173268E-1,9.881460190E0
2.082063544E0,1.944168359E-1,-1.728814393E-1,9.874281883E0
2.091720784E0,1.968096644E-1,-1.489532143E-1,9.879067421E0
2.101378023E0,1.872383654E-1,-1.680957973E-1,9.879067421E0
2.111035263E0,1.944168359E-1,-1.728814393E-1,9.879067421E0
2.120692502E0,2.063809484E-1,-1.776670814E-1,9.869496346E0
2.130349742E0,1.944168359E-1,-1.800599098E-1,9.876674652E0
2.140006982E0,1.968096644E-1,-1.513460279E-1,9.893424034E0
2.149664221E0,2.135594189E-1,-1.609173268E-1,9.867103577E0
2.159321461E0,2.015953064E-1,-1.489532143E-1,9.888638496E0
2.168978648E0,2.255235314E-1,-1.561316848E-1,9.891031265E0
2.178635888E0,2.111666054E-1,-1.872383654E-1,9.874281883E0
2.188293127E0,2.039881349E-1,-1.417747438E-1,9.867103577E0
2.197950367E0,2.087737769E-1,-1.561316848E-1,9.869496346E0
2.207607607E0,2.111666054E-1,-1.633101404E-1,9.874281883E0
2.217264846E0,1.872383654E-1,-1.585244983E-1,9.876674652E0
2.226922086E0,1.944168359E-1,-1.561316848E-1,9.881460190E0
2.236579325E0,2.087737769E-1,-1.633101404E-1,9.876674652E0
2.246236565E0,1.752742529E-1,-1.633101404E-1,9.869496346E0
2.255893805E0,2.207378894E-1,-1.657029688E-1,9.869496346E0
2.265551044E0,1.920240223E-1,-1.633101404E-1,9.876674652E0
2.275208284E0,1.944168359E-1,-1.561316848E-1,9.867103577E0
2.284865523E0,1.848455518E-1,-1.561316848E-1,9.869496346E0
2.294522763E0,1.992024779E-1,-1.680957973E-1,9.886245728E0
2.304180002E0,2.135594189E-1,-1.728814393E-1,9.876674652E0
2.313837242E0,1.896311939E-1,-1.848455518E-1,9.876674652E0
2.323494482E0,2.087737769E-1,-1.537388563E-1,9.879067421E0
2.333151721E0,2.063809484E-1,-1.776670814E-1,9.888638496E0
2.342808961E0,1.776670814E-1,-1.872383654E-1,9.867103577E0
2.352466148E0,2.087737769E-1,-1.944168359E-1,9.874281883E0
2.362123388E0,2.135594189E-1,-1.848455518E-1,9.881460190E0
2.371780627E0,2.087737769E-1,-1.585244983E-1,9.871889114E0
2.381437867E0,2.015953064E-1,-1.800599098E-1,9.886245728E0
2.391095107E0,2.063809484E-1,-1.561316848E-1,9.869496346E0
2.400752346E0,2.015953064E-1,-1.704886109E-1,9.876674652E0
2.410409586E0,2.015953064E-1,-1.776670814E-1,9.881460190E0
2.420066825E0,2.039881349E-1,-1.417747438E-1,9.881460190E0
2.429724065E0,1.992024779E-1,-1.680957973E-1,9.869496346E0
2.439381305E0,2.087737769E-1,-1.633101404E-1,9.881460190E0
2.449038544E0,2.063809484E-1,-1.657029688E-1,9.876674652E0
2.458695784E0,2.087737769E-1,-1.585244983E-1,9.874281883E0
2.468353023E0,1.944168359E-1,-1.657029688E-1,9.862318039E0
