"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.943761130E-1,-1.764706671E-1,9.990034252E-2,9.883852959E0,9.885933000E0
4.967904360E-1,-1.645065546E-1,4.007977992E-2,9.876674652E0,9.878125884E0
4.992048110E-1,-1.860419661E-1,1.046859920E-1,9.874281883E0,9.876589162E0
5.016191340E-1,-1.764706671E-1,9.990034252E-2,9.883852959E0,9.885933000E0
5.040334570E-1,-1.573280841E-1,8.793623000E-2,9.859925270E0,9.861572453E0
5.064478320E-1,-1.645065546E-1,7.357929647E-2,9.891031265E0,9.892672834E0
5.088621550E-1,-1.908276081E-1,1.238285750E-1,9.891031265E0,9.893646860E0
5.112764780E-1,-1.405783296E-1,1.375873014E-2,9.886245728E0,9.887254733E0
5.136908530E-1,-1.621137410E-1,7.357929647E-2,9.864710808E0,9.866317150E0
5.161051760E-1,-1.645065546E-1,4.965107143E-2,9.855138779E0,9.856636748E0
5.185194990E-1,-1.668993831E-1,3.529413417E-2,9.886245728E0,9.887717414E0
5.209338740E-1,-1.740778536E-1,4.965107143E-2,9.867103577E0,9.868763921E0
5.233481970E-1,-1.621137410E-1,7.118647546E-2,9.883852959E0,9.885438669E0
5.257625190E-1,-1.429711580E-1,9.511470050E-2,9.888638496E0,9.890129366E0
5.281768420E-1,-2.051845491E-1,1.046859920E-1,9.893424034E0,9.896105243E0
5.305912170E-1,-1.716850251E-1,5.204389244E-2,9.922138214E0,9.923759925E0
5.330055400E-1,-2.027917206E-1,8.315058798E-2,9.879067421E0,9.881498450E0
5.354198630E-1,-1.764706671E-1,4.486542568E-2,9.898209572E0,9.899884218E0
5.378342380E-1,-2.051845491E-1,8.315058798E-2,9.874281883E0,9.876763510E0
5.402485610E-1,-1.884347796E-1,1.190429255E-1,9.871889114E0,9.874404973E0
5.426628840E-1,-1.597209126E-1,6.161518395E-2,9.874281883E0,9.875765789E0
5.450772590E-1,-1.884347796E-1,4.965107143E-2,9.902996063E0,9.904913120E0
5.474915820E-1,-1.788634956E-1,2.093719877E-2,9.893424034E0,9.895062892E0
5.499059050E-1,-1.980060786E-1,4.486542568E-2,9.891031265E0,9.893114717E0
5.523202800E-1,-2.027917206E-1,8.315058798E-2,9.869496346E0,9.871929731E0
5.547346030E-1,-1.692921966E-1,1.286142170E-1,9.876674652E0,9.878962681E0
5.571489260E-1,-1.788634956E-1,7.118647546E-2,9.883852959E0,9.885727539E0
5.595632490E-1,-1.788634956E-1,4.007977992E-2,9.888638496E0,9.890337196E0
5.619776240E-1,-2.171486616E-1,2.811566554E-2,9.883852959E0,9.886278033E0
5.643919470E-1,-1.860419661E-1,6.161518395E-2,9.883852959E0,9.885795737E0
5.668062690E-1,-1.836491376E-1,4.007977992E-2,9.881460190E0,9.883247891E0
5.692206440E-1,-1.908276081E-1,5.682953820E-2,9.883852959E0,9.885858288E0
5.716349670E-1,-2.389831543E-1,8.315058798E-2,9.883852959E0,9.887091396E0
5.740492900E-1,-1.621137410E-1,8.315058798E-2,9.893424034E0,9.895101516E0
5.764636650E-1,-1.956132501E-1,5.682953820E-2,9.895816803E0,9.897913130E0
5.788779880E-1,-2.051845491E-1,5.682953820E-2,9.886245728E0,9.888538056E0
5.812923110E-1,-1.740778536E-1,6.640082598E-2,9.891031265E0,9.892785839E0
5.837066860E-1,-1.788634956E-1,6.879365444E-2,9.879067421E0,9.880925960E0
5.861210090E-1,-2.099701911E-1,1.525424421E-1,9.895816803E0,9.899219508E0
5.885353320E-1,-1.932204217E-1,8.075776696E-2,9.874281883E0,9.876502349E0
5.909496550E-1,-1.597209126E-1,4.247260094E-2,9.888638496E0,9.890019515E0
5.933640300E-1,-1.788634956E-1,1.136590727E-2,9.883852959E0,9.885477765E0
5.957783530E-1,-1.381855011E-1,6.879365444E-2,9.888638496E0,9.889843230E0
5.981926760E-1,-1.932204217E-1,4.007977992E-2,9.867103577E0,9.869076629E0
6.006070510E-1,-1.812563092E-1,5.922235921E-2,9.883852959E0,9.885692209E0
6.030213740E-1,-1.764706671E-1,7.836493850E-2,9.900602341E0,9.902485025E0
6.054356970E-1,-1.908276081E-1,1.046859920E-1,9.864710808E0,9.867111718E0
6.078500720E-1,-1.884347796E-1,4.486542568E-2,9.886245728E0,9.888143160E0
6.102643940E-1,-1.860419661E-1,6.640082598E-2,9.891031265E0,9.893003597E0
6.126787170E-1,-1.740778536E-1,7.836493850E-2,9.879067421E0,9.880911763E0
6.150930920E-1,-1.884347796E-1,9.990034252E-2,9.869496346E0,9.871800538E0
6.175074150E-1,-1.836491376E-1,4.486542568E-2,9.886245728E0,9.888053120E0
6.199217380E-1,-1.812563092E-1,8.075776696E-2,9.914959908E0,9.916945378E0
6.223361130E-1,-1.573280841E-1,8.793623000E-2,9.883852959E0,9.885496154E0
6.247504360E-1,-2.051845491E-1,7.357929647E-2,9.898209572E0,9.900609443E0
6.271647590E-1,-2.270190418E-1,3.529413417E-2,9.867103577E0,9.869777926E0
6.295790820E-1,-2.075773627E-1,6.879365444E-2,9.876674652E0,9.879095258E0
6.319934570E-1,-1.932204217E-1,4.725824669E-2,9.891031265E0,9.893031232E0
6.344077800E-1,-1.812563092E-1,4.007977992E-2,9.869496346E0,9.871241986E0
6.368221030E-1,-1.477568001E-1,4.007977992E-2,9.886245728E0,9.887431064E0
6.392364780E-1,-1.764706671E-1,5.204389244E-2,9.886245728E0,9.887957577E0
6.416508010E-1,-1.645065546E-1,8.793623000E-2,9.888638496E0,9.890397692E0
6.440651240E-1,-1.956132501E-1,9.272187948E-2,9.879067421E0,9.881438913E0
6.464794990E-1,-1.501496136E-1,1.070788130E-1,9.871889114E0,9.873611572E0
6.488938220E-1,-1.621137410E-1,7.118647546E-2,9.874281883E0,9.875869131E0
6.513081440E-1,-1.740778536E-1,7.118647546E-2,9.869496346E0,9.871288099E0
6.537225190E-1,-1.812563092E-1,7.836493850E-2,9.869496346E0,9.871471675E0
6.561368420E-1,-1.812563092E-1,9.032905847E-2,9.876674652E0,9.878750699E0
6.585511650E-1,-1.788634956E-1,9.990034252E-2,9.881460190E0,9.883583748E0
6.609654880E-1,-1.932204217E-1,9.511470050E-2,9.871889114E0,9.874237977E0
6.633798630E-1,-2.099701911E-1,9.511470050E-2,9.876674652E0,9.879364173E0
6.657941860E-1,-1.980060786E-1,9.990034252E-2,9.879067421E0,9.881556537E0
6.682085610E-1,-2.099701911E-1,9.511470050E-2,9.905388832E0,9.908070559E0
6.706228840E-1,-1.884347796E-1,5.922235921E-2,9.888638496E0,9.890611016E0
6.730372070E-1,-2.171486616E-1,1.262213886E-1,9.876674652E0,9.879867791E0
6.754515300E-1,-1.884347796E-1,1.118644550E-1,9.871889114E0,9.874321040E0
6.778659050E-1,-1.884347796E-1,5.922235921E-2,9.874281883E0,9.876257270E0
6.802802280E-1,-1.740778536E-1,9.750752151E-2,9.845567703E0,9.847589259E0
6.826945510E-1,-1.836491376E-1,5.682953820E-2,9.859925270E0,9.861799173E0
6.851089260E-1,-1.716850251E-1,4.965107143E-2,9.886245728E0,9.887861021E0
6.875232490E-1,-1.429711580E-1,6.400800496E-2,9.905388832E0,9.906627362E0
6.899375720E-1,-1.932204217E-1,6.879365444E-2,9.888638496E0,9.890765289E0
6.923519470E-1,-1.692921966E-1,6.640082598E-2,9.881460190E0,9.883133329E0
6.947662690E-1,-1.980060786E-1,9.032905847E-2,9.883852959E0,9.886248786E0
6.971805920E-1,-2.027917206E-1,8.554340899E-2,9.888638496E0,9.891087578E0
